Protein,Len,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S1,S1,S1,S1,S1,S1,S1,S1,S1,S1,LogFoldChange,Zstatistic
lcl|c203039_g1_i1|m.1291,978,2,0,1,1,3,2,0,1,0,1,1,0,2,0,2,0,1,0,0,0,-0.152,-0.3691
lcl|c203193_g1_i1|m.1308,228,10,10,8,5,7,6,6,6,4,7,5,8,8,8,4,6,5,7,4,5,-0.135,-0.793
lcl|c203483_g1_i2|m.1328,267,1,2,1,1,1,1,1,1,1,1,4,1,1,1,2,1,0,1,1,1,0.242,0.5852
lcl|c203808_g1_i1|m.1339,277,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0.005,0.0115
lcl|c204019_g1_i1|m.1366,306,3,2,3,2,3,2,2,2,2,1,3,2,2,1,1,1,3,1,1,0,-0.332,-1.0288
lcl|c204019_g3_i1|m.1367,115,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,-0.045,-0.1026
lcl|c204436_g1_i1|m.1392,704,1,1,1,1,2,2,1,2,1,2,1,2,1,3,2,1,1,2,1,2,0.128,0.3433
lcl|c204885_g2_i1|m.1407,274,2,1,0,1,0,0,0,2,0,1,0,1,1,1,0,0,0,0,0,0,-0.19,-0.4138
lcl|c204986_g3_i2|m.1414,274,4,4,4,3,4,4,3,5,2,6,4,1,1,2,2,2,2,1,0,0,-0.836,-2.9259
lcl|c205012_g1_i1|m.1420,449,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,-0.022,-0.0488
lcl|c205031_g3_i2|m.1422,388,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,-0.102,-0.2261
lcl|c205047_g1_i2|m.1424,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.031
lcl|c205358_g1_i2|m.1452,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044,0.097
lcl|c205368_g1_i5|m.1453,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.015,-0.0307
lcl|c205488_g1_i1|m.1464,125,3,4,3,1,4,5,2,4,2,2,3,6,7,3,4,3,6,5,4,3,0.409,1.6723
lcl|c205554_g2_i2|m.1468,125,0,1,1,1,2,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,-0.089,-0.2011
lcl|c205697_g1_i1|m.1481,318,26,25,22,31,29,23,21,15,6,26,25,23,14,19,32,18,15,20,8,23,-0.126,-1.3704
lcl|c205713_g1_i1|m.1484,352,14,14,10,17,16,15,3,12,4,11,51,54,30,52,36,47,21,49,22,31,1.222,12.5916
lcl|c206182_g1_i1|m.1515,148,1,2,0,1,0,2,0,0,0,1,1,2,0,1,2,0,0,2,1,3,0.224,0.5641
lcl|c206227_g2_i1|m.1521,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.022,0.0492
lcl|c206351_g3_i3|m.1527,261,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0.044,0.0931
lcl|c206397_g1_i2|m.1536,116,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0.09,0.1887
lcl|c206417_g1_i2|m.1538,404,6,8,3,6,6,5,5,7,0,4,1,2,2,1,2,1,0,1,1,1,-1.402,-4.5091
lcl|c206427_g2_i4|m.1541,186,7,7,4,8,9,6,8,9,4,8,4,9,3,4,5,5,2,3,5,4,-0.472,-2.557
lcl|c206531_g1_i1|m.1558,239,5,1,6,1,3,2,1,2,2,2,1,1,0,1,1,1,0,0,2,0,-0.882,-2.3138
lcl|c206556_g1_i2|m.1565,140,3,1,1,1,2,2,3,1,0,2,2,3,1,3,2,1,2,1,1,0,-0.005,-0.0143
lcl|c206819_g1_i1|m.1595,359,0,0,0,0,0,0,0,0,0,0,0,2,3,5,1,2,3,3,0,0,0.849,2.122
lcl|c206859_g1_i1|m.1600,432,13,0,0,0,32,12,32,0,0,13,0,0,13,10,21,0,9,0,13,0,-0.422,-2.7098
lcl|c207254_g1_i2|m.1628,119,1,2,4,2,1,1,3,0,0,4,2,1,1,1,2,1,1,1,1,3,-0.367,-1.0473
lcl|c207332_g2_i2|m.1633,171,0,0,0,0,53,0,0,30,0,0,0,84,0,0,58,0,0,0,0,0,0.496,3.5066
lcl|c207636_g1_i1|m.1667,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4,0,0.306,0.7097
lcl|c207709_g1_i1|m.1673,168,1,1,0,3,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,-0.198,-0.4504
lcl|c207931_g1_i1|m.1711,129,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-0.012,-0.0242
lcl|c207960_g1_i1|m.1712,216,8,4,5,6,4,3,7,9,4,6,5,4,4,6,4,5,2,2,4,4,-0.339,-1.6786
lcl|c207967_g2_i1|m.1713,225,3,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,-0.208,-0.4883
lcl|c208073_g4_i1|m.1728,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.021,-0.0489
lcl|c208095_g4_i3|m.1732,706,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.035,-0.0808
lcl|c208130_g1_i1|m.1735,249,20,14,11,12,8,15,15,13,8,12,8,7,8,6,6,6,6,9,8,9,-0.571,-3.8475
lcl|c208140_g2_i1|m.1739,331,0,0,0,0,1,0,0,1,0,0,2,4,0,3,1,3,1,1,2,1,0.623,1.6669
lcl|c208317_g1_i1|m.1768,292,32,26,21,27,41,22,15,28,17,46,14,14,12,26,11,13,6,13,8,21,-0.691,-6.3789
lcl|c208387_g1_i1|m.1778,453,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.127,0.2753
lcl|c208411_g1_i1|m.1783,277,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0.027,0.0577
lcl|c208684_g1_i2|m.1827,291,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.03,-0.0661
lcl|c208691_g4_i1|m.1828,107,5,2,3,1,5,3,1,3,1,3,1,1,2,0,2,0,0,0,0,0,-0.848,-2.2881
lcl|c208723_g2_i1|m.1834,255,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0.128,0.3038
lcl|c208878_g1_i2|m.1846,358,2,2,2,3,2,2,1,3,0,3,6,6,2,3,1,3,0,3,1,3,0.338,1.255
lcl|c208907_g1_i1|m.1852,471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.052,-0.1112
lcl|c208940_g4_i1|m.1863,179,0,0,2,0,0,0,3,0,1,0,2,0,3,2,0,0,3,2,1,1,0.286,0.784
lcl|c209114_g1_i1|m.1902,450,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-0.103,-0.2241
lcl|c209131_g1_i2|m.1905,245,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.034,0.0755
lcl|c209191_g2_i1|m.1916,149,2,4,2,4,4,4,2,5,2,1,2,3,1,3,1,3,1,4,1,3,-0.308,-1.08
lcl|c209256_g1_i1|m.1929,302,1,0,1,0,0,0,0,0,0,0,1,2,1,0,0,1,0,0,0,1,0.078,0.1764
lcl|c209298_g1_i1|m.1944,110,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0.028,0.0632
lcl|c209326_g4_i1|m.1952,155,3,2,4,4,4,8,8,5,1,6,2,2,1,1,3,2,1,0,4,1,-0.941,-3.3402
lcl|c209492_g1_i1|m.1979,328,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.005,0.0119
lcl|c209513_g1_i2|m.1987,221,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0008
lcl|c209565_g1_i2|m.1999,280,19,13,15,20,17,17,14,21,16,15,16,11,16,11,12,9,16,13,18,15,-0.205,-1.8307
lcl|c209565_g1_i2|m.2000,146,4,6,10,8,10,7,6,10,6,8,12,12,6,10,9,10,5,5,8,4,0.089,0.578
lcl|c209570_g1_i1|m.2001,317,3,1,1,1,3,3,1,1,0,2,6,3,3,2,3,4,2,3,3,1,0.572,1.8928
lcl|c209696_g5_i1|m.2033,118,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,-0.014,-0.0303
lcl|c209757_g1_i1|m.2044,245,10,7,8,8,14,10,7,15,7,13,15,13,9,19,9,10,9,8,7,8,0.091,0.6377
lcl|c209829_g4_i8|m.2051,347,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.046,-0.1039
lcl|c209846_g4_i1|m.2055,167,2,1,1,0,0,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,-0.263,-0.5992
lcl|c209938_g3_i4|m.2075,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.027,-0.0584
lcl|c209946_g1_i6|m.2078,207,0,1,1,0,1,2,1,1,1,1,1,0,0,0,0,0,0,0,2,0,0.012,0.0297
lcl|c210028_g2_i2|m.2098,195,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.015,-0.0326
lcl|c210031_g1_i2|m.2100,216,3,0,2,0,1,0,1,0,1,0,1,2,1,1,2,2,2,1,1,1,0.101,0.2651
lcl|c210226_g1_i1|m.2139,123,3,5,6,2,2,3,6,5,3,3,5,1,2,3,3,4,2,1,3,2,-0.402,-1.6365
lcl|c210228_g3_i1|m.2141,313,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.009,0.0191
lcl|c210253_g1_i2|m.2149,206,14,17,17,20,13,12,11,17,5,19,16,20,10,16,17,18,12,16,18,16,0.097,0.7568
lcl|c210315_g2_i1|m.2156,201,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.015,-0.0328
lcl|c210331_g2_i2|m.2158,225,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,-0.018,-0.0411
lcl|c210338_g2_i1|m.2161,1005,2,4,0,2,1,1,0,0,0,0,2,0,1,2,1,0,0,2,0,3,-0.005,-0.0129
lcl|c210342_g3_i4|m.2163,180,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0.025,0.0533
lcl|c210398_g1_i3|m.2174,467,4,17,20,13,16,8,10,14,6,11,6,14,4,7,14,14,9,14,14,15,-0.077,-0.5517
lcl|c210423_g1_i5|m.2178,136,1,2,3,2,3,3,3,4,2,2,4,1,3,0,2,2,2,1,3,0,-0.231,-0.7286
lcl|c210433_g2_i1|m.2180,113,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.025,-0.0533
lcl|c210478_g1_i4|m.2192,239,5,2,3,3,2,2,3,5,2,4,3,1,1,2,2,3,1,0,1,2,-0.606,-2.0079
lcl|c210539_g3_i4|m.2197,392,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,-0.007,-0.0154
lcl|c210579_g1_i2|m.2209,180,4,2,2,3,1,0,1,0,1,2,3,0,1,1,0,0,2,1,1,0,-0.329,-0.9202
lcl|c210580_g1_i3|m.2210,449,1,0,3,0,1,2,2,1,1,0,2,0,1,0,1,1,2,0,1,1,-0.162,-0.4091
lcl|c210652_g1_i1|m.2224,121,0,0,2,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0.352,0.882
lcl|c210652_g1_i2|m.2225,192,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,-0.009,-0.0193
lcl|c210662_g1_i1|m.2231,102,0,0,0,0,0,1,0,0,0,0,2,2,2,0,4,2,2,1,2,3,0.776,1.8173
lcl|c210720_g2_i2|m.2252,182,0,0,1,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0.24,0.5923
lcl|c210724_g2_i1|m.2253,513,2,3,2,2,2,2,4,2,0,3,3,1,2,0,0,0,0,2,1,1,-0.489,-1.375
lcl|c210735_g5_i3|m.2260,148,5,2,8,5,7,2,6,5,3,7,5,3,2,2,6,1,1,2,4,4,-0.529,-2.3146
lcl|c210749_g1_i1|m.2273,249,26,19,20,20,24,20,25,20,15,18,13,8,10,17,16,12,10,10,11,9,-0.587,-5.1503
lcl|c210819_g1_i13|m.2279,185,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0.021,0.0482
lcl|c210957_g4_i1|m.2306,601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002,-0.0045
lcl|c210994_g1_i1|m.2320,304,10,3,7,5,8,6,10,6,5,4,7,5,7,3,6,4,3,3,6,6,-0.26,-1.3684
lcl|c211001_g1_i6|m.2326,539,2,0,0,2,1,1,1,1,0,3,2,0,0,0,0,0,1,0,0,0,-0.248,-0.6023
lcl|c211022_g1_i7|m.2328,189,2,0,1,0,2,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,-0.217,-0.4972
lcl|c211142_g1_i1|m.2351,649,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0.0148
lcl|c211238_g1_i1|m.2379,233,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.001,-0.0012
lcl|c211252_g3_i1|m.2391,349,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.015,0.0321
lcl|c211278_g7_i1|m.2402,257,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,-0.024,-0.0563
lcl|c211368_g3_i1|m.2426,140,2,1,0,1,1,2,2,2,0,3,1,1,2,3,1,2,1,1,4,1,0.085,0.2446
lcl|c211415_g1_i1|m.2432,158,4,2,2,3,2,4,3,5,1,5,0,0,1,5,2,2,1,1,3,0,-0.559,-1.7638
lcl|c211436_g1_i2|m.2434,174,2,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,-0.207,-0.471
lcl|c211553_g1_i1|m.2455,180,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0.114,0.256
lcl|c211563_g8_i2|m.2460,139,1,1,1,0,1,1,1,3,0,1,0,0,0,0,1,1,0,1,1,0,-0.194,-0.4385
lcl|c211604_g1_i1|m.2470,229,1,0,1,0,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,-0.082,-0.1746
lcl|c211615_g1_i2|m.2471,102,9,4,4,6,6,5,7,4,3,6,3,4,4,5,4,4,3,2,5,3,-0.393,-1.7939
lcl|c211660_g1_i1|m.2486,379,1,2,1,1,0,0,0,1,0,1,2,1,0,1,1,0,1,0,3,3,0.304,0.7957
lcl|c211676_g2_i2|m.2489,407,0,2,1,0,1,0,3,0,1,0,0,0,2,1,0,2,0,2,4,1,0.197,0.5573
lcl|c211774_g2_i1|m.2538,118,3,4,2,4,4,2,3,4,3,3,0,1,2,1,2,1,2,1,0,2,-0.816,-2.4848
lcl|c211861_g1_i1|m.2554,151,6,13,7,9,9,6,9,6,4,10,2,0,0,0,0,0,0,0,1,0,-2.025,-6.1683
lcl|c211914_g5_i4|m.2567,306,0,2,1,2,1,1,2,0,2,0,2,1,1,1,1,2,1,0,0,0,-0.166,-0.4122
lcl|c211928_g3_i2|m.2574,272,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.02,0.0446
lcl|c212026_g3_i1|m.2608,667,38,40,30,35,57,37,37,51,32,55,28,22,16,23,21,22,16,19,29,27,-0.616,-7.0528
lcl|c212126_g1_i2|m.2626,243,5,6,2,2,3,3,6,5,5,5,1,1,5,1,0,0,1,1,2,1,-1.038,-3.4915
lcl|c212208_g2_i4|m.2650,217,3,0,0,1,1,1,2,0,1,0,1,1,2,0,1,1,2,2,2,2,0.142,0.3527
lcl|c212237_g2_i1|m.2659,530,12,5,6,9,8,7,7,6,4,9,2,1,7,2,2,3,3,1,6,5,-0.834,-4.0859
lcl|c212277_g3_i1|m.2669,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.011,0.0268
lcl|c212602_g3_i5|m.2781,543,3,2,5,1,8,5,5,2,1,2,4,0,0,0,1,0,0,0,1,1,-1.013,-3.0693
lcl|c212652_g1_i3|m.2790,341,0,0,0,1,3,1,0,1,0,1,1,2,0,1,1,3,0,1,0,0,0.083,0.2026
lcl|c212693_g1_i1|m.2804,324,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.059,-0.1353
lcl|c212713_g4_i1|m.2814,173,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.037,0.0783
lcl|c212727_g5_i1|m.2822,197,4,3,5,2,9,15,8,12,4,7,12,21,5,6,11,12,8,11,18,11,0.513,3.3718
lcl|c212758_g2_i1|m.2827,529,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.04,0.0936
lcl|c212784_g2_i1|m.2837,282,4,2,1,2,5,4,3,2,2,3,3,1,4,0,0,1,2,0,1,2,-0.503,-1.6163
lcl|c212802_g1_i2|m.2844,824,0,0,0,1,0,0,0,0,0,0,0,2,1,1,0,1,0,1,1,0,0.055,0.1251
lcl|c212821_g1_i2|m.2859,163,3,4,1,4,2,1,4,2,2,4,0,0,1,0,0,2,0,0,0,0,-0.919,-2.5826
lcl|c212826_g3_i1|m.2861,453,23,15,19,18,22,25,23,20,13,24,18,18,27,17,15,25,24,14,7,17,-0.11,-1.1431
lcl|c212839_g1_i3|m.2877,288,3,5,5,2,4,2,5,4,2,4,2,2,2,1,2,2,2,2,2,1,-0.705,-2.32
lcl|c212912_g1_i1|m.2890,190,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.002,0.0037
lcl|c212928_g1_i1|m.2894,484,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.013,0.0297
lcl|c212937_g3_i2|m.2900,184,1,1,3,2,1,2,3,2,0,2,2,2,1,2,1,1,2,2,1,2,-0.137,-0.3918
lcl|c213022_g4_i5|m.2921,208,4,3,5,3,8,2,2,3,0,6,3,2,1,4,1,0,1,1,1,1,-0.845,-2.6287
lcl|c213072_g1_i1|m.2941,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0.0231
lcl|c213117_g1_i3|m.2966,244,3,7,8,6,7,8,7,5,3,7,4,3,3,4,4,2,1,2,5,2,-0.714,-3.183
lcl|c213134_g1_i3|m.2976,212,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0.014,0.031
lcl|c213147_g4_i1|m.2980,151,8,5,3,8,15,8,3,8,6,16,1,3,1,4,2,2,1,1,1,2,-1.509,-5.5623
lcl|c213160_g2_i5|m.2982,128,40,35,14,29,28,30,27,26,22,31,23,26,30,34,26,28,25,25,24,26,-0.051,-0.5685
lcl|c213238_g2_i1|m.2996,498,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045,0.095
lcl|c213259_g2_i1|m.3003,151,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.008,-0.0183
lcl|c213262_g2_i4|m.3006,212,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.004
lcl|c213278_g3_i2|m.3010,328,1,3,2,1,1,4,2,2,0,0,1,1,0,0,3,1,0,0,0,0,-0.396,-1.0345
lcl|c213306_g2_i1|m.3016,203,1,2,1,1,0,0,1,1,1,0,1,4,1,2,1,0,1,2,1,1,0.296,0.7096
lcl|c213314_g8_i4|m.3021,555,3,5,4,2,5,4,4,3,3,4,4,3,3,4,3,3,3,2,4,3,-0.152,-0.6061
lcl|c213369_g2_i2|m.3062,182,0,2,0,2,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.362,-0.8858
lcl|c213419_g4_i1|m.3080,565,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,-0.142,-0.3129
lcl|c213465_g6_i10|m.3092,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.061,0.1361
lcl|c213496_g2_i3|m.3109,126,0,2,0,0,1,4,0,2,1,0,0,1,0,1,1,0,2,1,3,1,-0.17,-0.4546
lcl|c213534_g3_i4|m.3118,287,2,3,4,3,6,4,3,3,2,3,8,6,4,4,6,3,4,1,0,4,0.221,0.9392
lcl|c213677_g1_i4|m.3168,563,9,2,3,3,4,4,2,1,1,4,0,2,3,3,1,2,1,2,2,0,-0.612,-2.1406
lcl|c213742_g1_i10|m.3190,163,4,4,4,5,5,2,3,3,2,5,3,3,2,4,1,2,1,1,1,2,-0.653,-2.3759
