"","Row.names","X2018_MARCH_12_CORAL_JAA_01_NUMSPECSTOT","X2018_MARCH_12_CORAL_JAA_03_NUMSPECSTOT","X2018_MARCH_12_CORAL_JAA_04_NUMSPECSTOT","X2018_MARCH_12_CORAL_JAA_05_NUMSPECSTOT","X2018_MARCH_12_CORAL_JAA_06_NUMSPECSTOT","X2018_MARCH_12_CORAL_JAA_07_NUMSPECSTOT","X2018_MARCH_12_CORAL_JAA_08_NUMSPECSTOT","X2018_MARCH_12_CORAL_JAA_09_NUMSPECSTOT","X2018_MARCH_12_CORAL_JAA_10_NUMSPECSTOT","X2018_MARCH_12_CORAL_JAA_11_NUMSPECSTOT","X2018_MARCH_12_CORAL_JAA_12_NUMSPECSTOT","X2018_MARCH_12_CORAL_JAA_13_NUMSPECSTOT","X2018_MARCH_12_CORAL_JAA_14_NUMSPECSTOT","X2018_MARCH_12_CORAL_JAA_15_NUMSPECSTOT","X2018_MARCH_12_CORAL_JAA_16_NUMSPECSTOT","X2018_MARCH_12_CORAL_JAA_17_NUMSPECSTOT","X2018_MARCH_12_CORAL_JAA_19_NUMSPECSTOT","X2018_MARCH_12_CORAL_JAA_20_NUMSPECSTOT","X2018_MARCH_12_CORAL_JAA_21_NUMSPECSTOT","X2018_MARCH_12_CORAL_JAA_22_NUMSPECSTOT","PROTLEN"
"15","lcl|c143056_g1_i1|m.250",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,150
"16","lcl|c145576_g1_i1|m.265",1,5,2,2,1,7,5,2,3,2,8,5,2,2,5,5,3,6,0,4,147
"17","lcl|c157567_g1_i1|m.372",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,299
"18","lcl|c163027_g1_i3|m.422",3,2,3,2,2,1,3,2,3,3,2,3,2,3,1,3,3,1,3,0,260
"19","lcl|c164490_g1_i1|m.440",10,21,16,14,14,14,20,25,24,18,16,21,21,28,14,22,18,14,11,19,278
"20","lcl|c167783_g1_i1|m.480",0,0,0,1,0,0,1,1,2,2,0,2,1,0,0,0,1,2,0,1,134
"21","lcl|c169761_g1_i1|m.505",0,8,1,3,1,6,0,3,8,9,0,1,2,1,2,0,2,5,2,1,502
"22","lcl|c176627_g1_i2|m.576",0,0,0,1,2,0,0,5,0,0,0,6,0,1,1,0,0,2,0,0,287
"23","lcl|c176630_g1_i1|m.578",1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,375
"24","lcl|c177410_g1_i1|m.597",2,2,2,1,0,0,0,2,2,2,0,1,3,2,0,2,2,0,2,1,156
"25","lcl|c182463_g1_i1|m.663",0,2,1,1,0,0,0,0,0,0,1,1,1,0,2,0,0,0,0,0,145
"26","lcl|c184118_g1_i1|m.691",22,36,30,32,30,32,34,33,33,20,38,33,29,27,38,25,37,38,21,35,140
"27","lcl|c187253_g2_i1|m.744",0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,1,358
"28","lcl|c188047_g2_i2|m.760",1,1,1,2,2,1,2,3,3,2,1,3,4,4,1,3,3,1,1,2,688
"29","lcl|c192621_g3_i1|m.866",1,3,1,0,0,0,3,1,3,0,1,0,0,0,2,3,1,0,0,0,226
"30","lcl|c194625_g1_i1|m.911",4,2,2,1,0,1,0,1,2,1,3,0,1,0,2,0,0,1,0,7,173
"31","lcl|c195747_g2_i1|m.945",30,109,102,132,88,146,126,99,90,151,124,103,95,142,107,108,107,115,99,128,100
"32","lcl|c197607_g1_i1|m.1006",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,109
"33","lcl|c198620_g1_i2|m.1049",1,3,3,3,1,2,2,3,6,2,2,4,3,6,3,4,4,4,2,3,143
"34","lcl|c198665_g3_i2|m.1050",0,1,0,1,0,1,1,1,2,1,0,0,0,0,0,1,1,1,0,1,232
"35","lcl|c199545_g1_i1|m.1080",2,0,2,0,0,0,1,1,0,0,1,1,1,1,0,1,1,2,0,0,279
"36","lcl|c199810_g1_i2|m.1089",0,1,0,0,0,2,1,0,1,0,1,0,0,0,2,0,0,1,0,1,141
"37","lcl|c201141_g1_i1|m.1178",4,0,0,5,2,1,0,5,0,1,4,3,4,2,0,1,3,6,1,6,281
"38","lcl|c201155_g1_i1|m.1182",4,8,8,8,6,5,5,10,10,6,7,6,8,4,5,11,9,5,3,7,295
"39","lcl|c201157_g2_i3|m.1183",0,0,0,0,0,0,2,0,0,1,0,0,1,8,1,0,0,0,0,1,490
"40","lcl|c201413_g4_i1|m.1201",2,1,2,0,0,1,1,1,1,0,2,1,1,1,1,0,1,4,1,1,149
"41","lcl|c201441_g1_i1|m.1204",1,0,2,2,2,2,5,3,3,1,5,4,1,3,2,1,2,2,1,2,402
"42","lcl|c201696_g3_i1|m.1219",2,2,4,1,1,2,6,5,5,2,5,3,5,1,1,2,5,4,1,3,152
"43","lcl|c201793_g1_i1|m.1223",2,2,1,0,1,1,1,2,1,1,1,2,0,0,1,0,0,0,0,0,210
"44","lcl|c202129_g1_i1|m.1242",5,12,13,9,13,11,6,13,9,8,10,10,8,18,8,11,10,11,6,11,199
"45","lcl|c202472_g1_i1|m.1259",23,41,38,24,33,31,42,39,36,23,44,33,32,32,41,59,39,42,31,32,104
"46","lcl|c202641_g1_i1|m.1266",3,3,2,2,3,3,5,2,3,1,4,2,1,3,3,2,2,3,3,4,196
"47","lcl|c202763_g1_i3|m.1276",1,2,1,0,0,0,0,2,1,3,2,1,2,0,1,2,2,2,2,2,200
"48","lcl|c202894_g5_i1|m.1285",1,6,4,2,9,2,1,1,1,7,0,1,0,4,1,6,4,0,1,0,234
"49","lcl|c203039_g1_i1|m.1291",0,0,2,0,1,1,3,4,2,0,3,2,0,2,2,3,0,1,0,1,978
"50","lcl|c203193_g1_i1|m.1308",6,8,10,10,8,5,10,10,9,6,7,6,6,6,5,8,8,6,4,7,228
"51","lcl|c203483_g1_i2|m.1328",2,1,1,2,1,1,2,2,1,1,1,1,1,2,1,1,3,1,1,1,267
"52","lcl|c203808_g1_i1|m.1339",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,277
"53","lcl|c204019_g1_i1|m.1366",3,5,3,2,3,2,4,5,4,1,3,2,2,6,4,3,9,2,2,1,306
"54","lcl|c204019_g3_i1|m.1367",1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,1,0,1,115
"55","lcl|c204436_g1_i1|m.1392",3,1,1,1,1,1,2,1,1,1,2,2,1,1,2,1,4,2,1,2,704
"56","lcl|c204885_g2_i1|m.1407",0,1,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,1,274
"57","lcl|c204986_g3_i2|m.1414",2,8,4,4,4,3,4,4,5,5,4,4,3,2,5,6,3,5,2,6,274
"58","lcl|c205012_g1_i1|m.1420",2,0,0,1,2,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,449
"59","lcl|c205031_g3_i2|m.1422",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,388
"60","lcl|c205047_g1_i2|m.1424",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,139
"61","lcl|c205358_g1_i2|m.1452",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,361
"62","lcl|c205368_g1_i5|m.1453",10,7,0,0,0,0,6,3,6,2,0,0,0,13,2,8,7,0,0,0,406
"63","lcl|c205488_g1_i1|m.1464",0,1,3,4,3,1,1,3,1,1,4,5,2,4,2,1,1,4,2,2,125
"64","lcl|c205554_g2_i2|m.1468",1,1,0,1,1,1,2,2,2,1,2,1,1,1,0,1,2,1,0,1,125
"65","lcl|c205697_g1_i1|m.1481",19,41,26,25,22,31,38,27,24,33,29,23,21,33,32,21,19,15,6,26,318
"66","lcl|c205713_g1_i1|m.1484",2,13,14,14,10,17,16,7,10,20,16,15,3,13,32,8,9,12,4,11,352
"67","lcl|c206182_g1_i1|m.1515",0,1,1,2,0,1,1,0,0,1,0,2,0,1,0,0,0,0,0,1,148
"68","lcl|c206227_g2_i1|m.1521",1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,189
"69","lcl|c206351_g3_i3|m.1527",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,261
"70","lcl|c206397_g1_i2|m.1536",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116
"71","lcl|c206417_g1_i2|m.1538",5,7,6,8,3,6,10,6,5,5,6,5,5,8,8,6,3,7,0,4,404
"72","lcl|c206427_g2_i4|m.1541",9,6,7,7,4,8,10,10,8,4,9,6,8,5,8,5,7,9,4,8,186
"73","lcl|c206531_g1_i1|m.1558",4,5,5,1,6,1,7,4,4,5,3,2,1,16,4,6,5,2,2,2,239
"74","lcl|c206556_g1_i2|m.1565",2,4,3,1,1,1,3,1,4,0,2,2,3,2,1,4,4,1,0,2,140
"75","lcl|c206819_g1_i1|m.1595",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,359
"76","lcl|c206859_g1_i1|m.1600",0,0,13,0,0,0,25,17,29,0,32,12,32,0,10,19,0,0,0,13,432
"77","lcl|c207254_g1_i2|m.1628",0,2,1,2,4,2,2,0,1,2,1,1,3,3,2,1,0,0,0,4,119
"78","lcl|c207332_g2_i2|m.1633",8,0,0,0,0,0,60,0,0,0,53,0,0,0,0,0,0,30,0,0,171
"79","lcl|c207636_g1_i1|m.1667",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254
"80","lcl|c207709_g1_i1|m.1673",1,3,1,1,0,3,0,0,0,1,0,0,0,0,1,1,2,1,0,0,168
"81","lcl|c207931_g1_i1|m.1711",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,129
"82","lcl|c207960_g1_i1|m.1712",9,5,8,4,5,6,5,5,12,4,4,3,7,3,8,10,8,9,4,6,216
"83","lcl|c207967_g2_i1|m.1713",3,1,3,1,1,0,1,3,3,1,0,1,1,4,1,2,1,1,1,1,225
"84","lcl|c208073_g4_i1|m.1728",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130
"85","lcl|c208095_g4_i3|m.1732",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,706
"86","lcl|c208130_g1_i1|m.1735",10,16,20,14,11,12,11,25,18,17,8,15,15,10,14,18,17,13,8,12,249
"87","lcl|c208140_g2_i1|m.1739",0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,331
"88","lcl|c208317_g1_i1|m.1768",20,32,32,26,21,27,23,24,19,24,41,22,15,20,23,7,10,28,17,46,292
"89","lcl|c208387_g1_i1|m.1778",0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,453
"90","lcl|c208411_g1_i1|m.1783",0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,277
"91","lcl|c208684_g1_i2|m.1827",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,291
"92","lcl|c208691_g4_i1|m.1828",6,5,5,2,3,1,4,3,3,0,5,3,1,0,3,3,2,3,1,3,107
"93","lcl|c208723_g2_i1|m.1834",0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,255
"94","lcl|c208878_g1_i2|m.1846",2,3,2,2,2,3,3,1,0,0,2,2,1,8,2,2,1,3,0,3,358
"95","lcl|c208907_g1_i1|m.1852",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,471
"96","lcl|c208940_g4_i1|m.1863",2,1,0,0,2,0,1,2,3,0,0,0,3,2,3,3,2,0,1,0,179
"97","lcl|c209114_g1_i1|m.1902",0,1,0,1,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,450
"98","lcl|c209131_g1_i2|m.1905",0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,245
"99","lcl|c209191_g2_i1|m.1916",5,2,2,4,2,4,3,2,2,3,4,4,2,5,2,3,5,5,2,1,149
"100","lcl|c209256_g1_i1|m.1929",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302
"101","lcl|c209298_g1_i1|m.1944",0,0,0,0,1,0,0,0,2,0,0,0,1,1,0,0,0,0,0,1,110
"102","lcl|c209326_g4_i1|m.1952",7,5,3,2,4,4,8,9,10,1,4,8,8,7,4,3,2,5,1,6,155
"103","lcl|c209492_g1_i1|m.1979",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,328
"104","lcl|c209513_g1_i2|m.1987",1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,221
"105","lcl|c209565_g1_i2|m.1999",13,20,19,13,15,20,20,18,17,16,17,17,14,18,19,25,20,21,16,15,280
"106","lcl|c209565_g1_i2|m.2000",14,11,4,6,10,8,13,12,8,10,10,7,6,13,12,11,11,10,6,8,146
"107","lcl|c209570_g1_i1|m.2001",2,5,3,1,1,1,3,2,0,2,3,3,1,2,5,4,2,1,0,2,317
"108","lcl|c209696_g5_i1|m.2033",0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,118
"109","lcl|c209757_g1_i1|m.2044",13,14,10,7,8,8,12,17,9,12,14,10,7,6,19,8,9,15,7,13,245
"110","lcl|c209829_g4_i8|m.2051",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,347
"111","lcl|c209846_g4_i1|m.2055",1,0,2,1,1,0,1,1,1,0,0,1,0,0,0,2,1,1,0,3,167
"112","lcl|c209938_g3_i4|m.2075",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,165
"113","lcl|c209946_g1_i6|m.2078",1,1,0,1,1,0,1,2,1,0,1,2,1,1,1,0,1,1,1,1,207
"114","lcl|c210028_g2_i2|m.2098",1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,195
"115","lcl|c210031_g1_i2|m.2100",3,0,3,0,2,0,2,2,3,1,1,0,1,0,2,3,1,0,1,0,216
"116","lcl|c210226_g1_i1|m.2139",10,9,3,5,6,2,5,5,6,2,2,3,6,5,6,8,6,5,3,3,123
"117","lcl|c210228_g3_i1|m.2141",1,2,0,1,0,1,2,1,3,0,0,0,1,0,1,0,2,0,0,0,313
"118","lcl|c210253_g1_i2|m.2149",18,18,14,17,17,20,24,17,16,15,13,12,11,31,18,20,13,17,5,19,206
"119","lcl|c210315_g2_i1|m.2156",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201
"120","lcl|c210331_g2_i2|m.2158",0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,225
"121","lcl|c210338_g2_i1|m.2161",0,0,2,4,0,2,0,0,0,4,1,1,0,0,0,0,0,0,0,0,1005
"122","lcl|c210342_g3_i4|m.2163",0,2,0,0,1,0,2,1,1,0,1,1,0,2,1,1,0,1,0,1,180
"123","lcl|c210398_g1_i3|m.2174",21,18,4,17,20,13,22,13,13,21,16,8,10,35,15,11,16,14,6,11,467
"124","lcl|c210423_g1_i5|m.2178",9,5,1,2,3,2,7,4,2,2,3,3,3,2,3,4,4,4,2,2,136
"125","lcl|c210433_g2_i1|m.2180",0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,113
"126","lcl|c210478_g1_i4|m.2192",3,3,5,2,3,3,4,6,3,3,2,2,3,3,3,5,4,5,2,4,239
"127","lcl|c210539_g3_i4|m.2197",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,392
"128","lcl|c210579_g1_i2|m.2209",0,3,4,2,2,3,0,2,1,2,1,0,1,3,1,1,4,0,1,2,180
"129","lcl|c210580_g1_i3|m.2210",1,1,1,0,3,0,3,3,2,2,1,2,2,0,1,3,1,1,1,0,449
"130","lcl|c210652_g1_i1|m.2224",0,0,0,0,2,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,121
"131","lcl|c210652_g1_i2|m.2225",0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,192
"132","lcl|c210662_g1_i1|m.2231",0,0,0,0,0,0,0,0,1,2,0,1,0,0,1,0,0,0,0,0,102
"133","lcl|c210720_g2_i2|m.2252",0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,182
"134","lcl|c210724_g2_i1|m.2253",3,1,2,3,2,2,4,3,3,3,2,2,4,0,1,7,4,2,0,3,513
"135","lcl|c210735_g5_i3|m.2260",4,9,5,2,8,5,11,8,9,1,7,2,6,9,9,13,8,5,3,7,148
"136","lcl|c210749_g1_i1|m.2273",15,25,26,19,20,20,24,38,27,27,24,20,25,12,24,33,27,20,15,18,249
"137","lcl|c210819_g1_i13|m.2279",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185
"138","lcl|c210957_g4_i1|m.2306",0,1,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,601
"139","lcl|c210994_g1_i1|m.2320",5,7,10,3,7,5,9,6,9,8,8,6,10,3,8,8,9,6,5,4,304
"140","lcl|c211001_g1_i6|m.2326",0,3,2,0,0,2,4,2,0,0,1,1,1,2,3,2,0,1,0,3,539
"141","lcl|c211022_g1_i7|m.2328",1,1,2,0,1,0,1,2,2,0,2,1,1,1,1,1,2,0,0,0,189
"142","lcl|c211142_g1_i1|m.2351",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,649
"143","lcl|c211238_g1_i1|m.2379",1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,233
"144","lcl|c211252_g3_i1|m.2391",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,349
"145","lcl|c211278_g7_i1|m.2402",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,257
"146","lcl|c211368_g3_i1|m.2426",5,3,2,1,0,1,5,3,4,1,1,2,2,4,1,3,1,2,0,3,140
"147","lcl|c211415_g1_i1|m.2432",4,3,4,2,2,3,6,4,6,2,2,4,3,4,1,3,4,5,1,5,158
"148","lcl|c211436_g1_i2|m.2434",1,1,2,0,0,0,3,3,3,1,0,1,1,2,2,3,3,0,0,2,174
"149","lcl|c211553_g1_i1|m.2455",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,180
"150","lcl|c211563_g8_i2|m.2460",2,1,1,1,1,0,1,2,1,1,1,1,1,1,1,2,1,3,0,1,139
"151","lcl|c211604_g1_i1|m.2470",1,0,1,0,1,0,0,0,0,1,2,0,1,1,0,0,1,1,1,1,229
"152","lcl|c211615_g1_i2|m.2471",5,6,9,4,4,6,9,7,6,6,6,5,7,3,9,6,10,4,3,6,102
"153","lcl|c211660_g1_i1|m.2486",0,2,1,2,1,1,2,1,1,1,0,0,0,0,1,1,0,1,0,1,379
"154","lcl|c211676_g2_i2|m.2489",2,1,0,2,1,0,1,0,2,2,1,0,3,4,0,1,2,0,1,0,407
"155","lcl|c211774_g2_i1|m.2538",5,3,3,4,2,4,3,4,4,2,4,2,3,5,2,3,4,4,3,3,118
"156","lcl|c211861_g1_i1|m.2554",11,7,6,13,7,9,11,11,7,4,9,6,9,10,5,7,9,6,4,10,151
"157","lcl|c211914_g5_i4|m.2567",2,1,0,2,1,2,2,2,0,3,1,1,2,3,3,0,1,0,2,0,306
"158","lcl|c211928_g3_i2|m.2574",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272
"159","lcl|c212026_g3_i1|m.2608",20,40,38,40,30,35,56,38,36,32,57,37,37,29,29,30,35,51,32,55,667
"160","lcl|c212126_g1_i2|m.2626",9,8,5,6,2,2,5,6,6,4,3,3,6,10,2,6,4,5,5,5,243
"161","lcl|c212208_g2_i4|m.2650",0,0,3,0,0,1,1,1,1,2,1,1,2,0,0,2,1,0,1,0,217
"162","lcl|c212237_g2_i1|m.2659",11,9,12,5,6,9,11,14,15,6,8,7,7,14,9,18,8,6,4,9,530
"163","lcl|c212277_g3_i1|m.2669",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,123
"164","lcl|c212602_g3_i5|m.2781",0,1,3,2,5,1,3,4,2,0,8,5,5,0,0,1,0,2,1,2,543
"165","lcl|c212652_g1_i3|m.2790",0,1,0,0,0,1,0,3,1,0,3,1,0,0,1,1,3,1,0,1,341
"166","lcl|c212693_g1_i1|m.2804",1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,324
"167","lcl|c212713_g4_i1|m.2814",0,0,0,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,173
"168","lcl|c212727_g5_i1|m.2822",6,6,4,3,5,2,6,10,14,7,9,15,8,2,3,3,5,12,4,7,197
"169","lcl|c212758_g2_i1|m.2827",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529
"170","lcl|c212784_g2_i1|m.2837",4,4,4,2,1,2,5,4,6,0,5,4,3,1,6,3,4,2,2,3,282
"171","lcl|c212802_g1_i2|m.2844",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,824
"172","lcl|c212821_g1_i2|m.2859",5,4,3,4,1,4,0,4,2,2,2,1,4,1,3,5,4,2,2,4,163
"173","lcl|c212826_g3_i1|m.2861",29,28,23,15,19,18,31,37,33,14,22,25,23,22,27,38,31,20,13,24,453
"174","lcl|c212839_g1_i3|m.2877",8,8,3,5,5,2,6,5,4,1,4,2,5,9,4,3,6,4,2,4,288
"175","lcl|c212912_g1_i1|m.2890",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,190
"176","lcl|c212928_g1_i1|m.2894",0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,484
"177","lcl|c212937_g3_i2|m.2900",1,2,1,1,3,2,2,4,3,1,1,2,3,3,2,1,2,2,0,2,184
"178","lcl|c213022_g4_i5|m.2921",1,6,4,3,5,3,6,2,4,3,8,2,2,3,2,2,2,3,0,6,208
"179","lcl|c213072_g1_i1|m.2941",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,245
"180","lcl|c213117_g1_i3|m.2966",4,8,3,7,8,6,6,8,8,5,7,8,7,9,4,6,5,5,3,7,244
"181","lcl|c213134_g1_i3|m.2976",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,212
"182","lcl|c213147_g4_i1|m.2980",10,11,8,5,3,8,9,8,3,2,15,8,3,1,6,6,6,8,6,16,151
"183","lcl|c213160_g2_i5|m.2982",21,24,40,35,14,29,31,28,31,28,28,30,27,18,30,24,30,26,22,31,128
"184","lcl|c213238_g2_i1|m.2996",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498
"185","lcl|c213259_g2_i1|m.3003",1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,151
"186","lcl|c213262_g2_i4|m.3006",1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,212
"187","lcl|c213278_g3_i2|m.3010",4,3,1,3,2,1,3,7,4,1,1,4,2,1,2,7,4,2,0,0,328
"188","lcl|c213306_g2_i1|m.3016",2,0,1,2,1,1,1,3,2,1,0,0,1,0,0,2,2,1,1,0,203
"189","lcl|c213314_g8_i4|m.3021",10,5,3,5,4,2,4,7,6,4,5,4,4,8,4,5,6,3,3,4,555
"190","lcl|c213369_g2_i2|m.3062",0,1,0,2,0,2,1,3,1,1,1,1,3,2,0,0,2,0,1,0,182
"191","lcl|c213419_g4_i1|m.3080",0,0,0,2,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,565
"192","lcl|c213465_g6_i10|m.3092",0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,373
"193","lcl|c213496_g2_i3|m.3109",0,3,0,2,0,0,1,1,2,2,1,4,0,0,1,3,2,2,1,0,126
"194","lcl|c213534_g3_i4|m.3118",2,7,2,3,4,3,6,6,6,4,6,4,3,0,3,7,5,3,2,3,287
"195","lcl|c213677_g1_i4|m.3168",0,4,9,2,3,3,3,4,2,0,4,4,2,2,2,9,3,1,1,4,563
"196","lcl|c213742_g1_i10|m.3190",8,5,4,4,4,5,3,3,3,4,5,2,3,4,2,2,4,3,2,5,163
"197","lcl|c213743_g5_i1|m.3191",0,0,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,0,186
"198","lcl|c213783_g1_i1|m.3203",1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,417
"199","lcl|c213826_g1_i1|m.3216",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,334
